Timestamp,lga,gender,age,education,do you own land,6- How did you acquire farming land?,7- Size of your farm?,8- Core sources of income?,9- Level of income per month in Nigerian naira?,"10- In addition to maize farming, what are your other sources of income and Average annual income (Naira)?",11- . Specify whether you acknowledged any credit for your agriculture ?,12- Years of farming experience?,13- Are you a member of a farmers’ association? ,14- Specify aids received as a member?,1- In your opinion is climate change taking place?,"2- If you are agreed, please specify from the list below what is your experience for the last 20 years that varieties your opinion that climate change is happening? ",3- Are you afraid of these climate changes?,"4- If yes, why?","1- Would you come to an agreement that the changes you stated, have negatively affected your maize farming activities?","2- If yes, what following effect would you tell us, these changes have had on your agriculture? [Increase in temperature]","2- If yes, what following effect would you tell us, these changes have had on your agriculture? [Increase in rainfall and increased frequency and intensity of floods]","2- If yes, what following effect would you tell us, these changes have had on your agriculture? [Changes in precipitation patterns]","2- If yes, what following effect would you tell us, these changes have had on your agriculture? [Increased frequency and intensity of droughts and decline in rainfall]",3- Take a reference of the last 10 years (2021); Is Maize farming areas?,"4- If increases or decreases, why?",1- Have you transformed your maize farming practices in response to climate change conditions?,2- Are you cognizant of climate-smart practices? ,4- Have you experienced any training on climate-smart practices for more than one week in an NGO or an institution? ,5- Do you know the benefits connected with the adoption of climate-smart practices? ,6- If yes what are the advantages of the adoption of climate-smart practices? ,7- ,7- For how long have you tried them on your farm? ,"8- If you have tried these practices, what do you propose to do? ",1- Do you receive climate information or early warning messages? ,"2- If yes, how do you receive this information through communication channels?","3- If you have received climate information, are you using the information?",4- If not why?,"5- If yes, does it influence you to change management practices? ",6- If yes what are the management options?,"10- In addition to maize farming, what are your other sources of income and Average annual income (Naira)? [Others]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Mixed cropping]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Combined crop and livestock systems]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Using seasonal weather predictions]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Agroforestry]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Crop rotation]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Rainwater harvesting]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Irrigation using effective technology]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Farmyard composting]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Preservation of hay during the dry season]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Use of organic manure & chemical fertilizer]","3- . If yes, which of the following adaptation (climate-smart) practices in your farming activities are you cognizant of, practice, and have the knowledge of?  [Other, specify]"
6/19/2022 20:45,Soba,Male,20 – 40,Secondary School education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",No,Above 5 years,Yes,Access to extension services,Strongly agree,"Decrease in rainfall, Increased frequency and intensity in droughts",Yes,Crop yields have declined,Strongly agree,Reduced moisture in the soil leads to wilting of crops,Crop failure,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,Increase,Market opportunities ,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, More profitable and less costly",,2 years,Continue,Yes,"Radio, Internet, Extension services, Participatory Township planning meeting",Yes,,Yes,"Early planting, improved cultural practices and mixing organic and inorganic fertilizer to boost productivity ","10,000",Aware (Yes),None,Practice (Yes),Practice (No),Knowledge (Yes),Knowledge (Yes),Practice (No),Practice (Yes),Practice (No),Practice (Yes),None
6/19/2022 21:47,Zaria,Female,20 – 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",No,Above 5 years,Yes,"Learn new methods of farming, Access to extension services",Strongly agree,"Increase in rainfall, Increase in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Strongly agree,Exacerbated soil erosion,Destruction of crops as a result of flooding,Crop failure,The decline in crop yield,Increase,Due to application of fertilizer ,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,Above 2 years,Continue,Yes,Internet,Yes,,Yes,,"Above 100,000",Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Aware (Yes)
6/19/2022 22:30,Soba,Female,20 – 40,Tertiary Education,Yes,Inherited,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"60,000",Yes,Above 5 years,Yes,"Learn new methods of farming, Access to extension services, Access to credit",Agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts",Yes,Crop yields have declined,Strongly agree,Pests and diseases outbreak,Crop failure,The decline in crop yield,Lack of pasture,Decrease,Increase in temperature causes the outbreak of pest and diseases,Yes,Yes,No,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security",,2 years,Continue,No,"Radio, Television",Yes,,Yes,,"10,000",Knowledge (Yes),Knowledge (Yes),Aware (No),Aware (Yes),Aware (Yes),Knowledge (Yes),Aware (No),Practice (Yes),Aware (No),Practice (Yes),Practice (Yes)
6/20/2022 2:39,Makarfi,Male,above 40,Primary school education,Yes,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",< 10000,"10,000",Yes,Above 5 years,No,Not been a member ,Agree,Increased frequency and intensity in droughts,Yes,Crops have been destroyed and livestock died,Agree,The emergence of new strains of pests and diseases,Exacerbated soil erosion,None,Reduced moisture in the soil leads to wilting of crops,Increase,After knowing the benefit snd and value if it,No,No,No,Yes,More profitable and less costly,,2 years,Continue,No,Neighbors and friends,Yes,,No,,"30,000",None,None,Aware (No),Aware (No),Aware (No),Aware (Yes),Aware (Yes),Aware (No),Aware (No),Aware (Yes),None
6/20/2022 2:46,Makarfi,Male,20 – 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",< 10000,"40,000",Yes,Above 5 years,No,Any other benefit,Neutral,Increased frequency and intensity in floods,Yes,I am unable to plan my farming activities,Agree,Reduced moisture in the soil leads to wilting of crops,Destruction of crops as a result of flooding,None,None,Increase,Good awareness of maize farming ,No,No,No,No,More profitable and less costly,,2 years,Continue,Yes,Radio,Yes,,No,,"20,000",Aware (Yes),Aware (Yes),Knowledge (Yes),Aware (Yes),Aware (No),None,Knowledge (Yes),Aware (Yes),Aware (No),Knowledge (Yes),None
6/20/2022 3:37,Kaduna South,Male,20 – 40,Arabic Education,Yes,Bought,50 – 200ha,Farm income,Above 10000,"20,000",Yes,5 years,Yes,Access to extension services,Strongly agree,Increase in temperature,Yes,Crops have been destroyed and livestock died,Strongly agree,The emergence of new strains of pests and diseases,None,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,Increase,Improvement of farming methods,Yes,Yes,Yes,Yes,Increases productivity,,Above 2 years,Continue,Yes,"Radio, Television, Internet, Neighbors and friends, Local administrators",Yes,,No,,"10,000",Aware (Yes),None,Aware (Yes),Aware (No),Aware (No),Aware (Yes),Aware (Yes),Aware (Yes),Aware (No),Aware (Yes),Aware (Yes)
6/21/2022 3:09,Kaduna South,Female,20 – 40,Arabic Education,Yes,Rented,50 – 200ha,Farm income,< 10000,"20,000",Yes,Above 5 years,Yes,Learn new methods of farming,Strongly agree,"Decrease in rainfall, Increase in rainfall, Increase in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crops have been destroyed and livestock died,Strongly agree,Destruction of crops as a result of flooding,Pests and diseases outbreak,The decline in crop yield,Exacerbated soil erosion,Decrease,,Yes,Yes,No,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, More profitable and less costly",,Above 2 years,Continue,Yes,"Radio, Neighbors and friends, Native forecasters, Participatory Township planning meeting",Yes,,Yes,,"20,000",Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),Practice (Yes),None
6/21/2022 5:43,Kaduna North,Female,20 – 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",< 10000,"10,000",No,5 years,No,Nil,Strongly agree,"Decrease in rainfall, Decrease in temperature, Increased frequency and intensity in droughts",Yes,Crop yields have declined,Strongly agree,The emergence of new strains of pests and diseases,The decline in crop yield diseases,The emergence of new strains of pests and diseases,None,Decrease,,Yes,Yes,No,Yes,Enhances resilience to climate change,,2 years,Continue,No,"Posters, SMS services, Local administrators, Participatory Township planning meeting",Yes,Nil,No,Nil,"10,000",Aware (Yes),Aware (Yes),Aware (Yes),None,Aware (Yes),Aware (Yes),None,None,Aware (Yes),Aware (Yes),None
6/21/2022 14:07,Sabon Gari,Male,20 – 40,Tertiary Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"10,000",No,5 years,Yes,Any other benefit,Strongly agree,Increased frequency and intensity in droughts,Yes,Crop yields have declined,Agree,Exacerbated soil erosion,Reduced moisture in the soil leads to wilting of crops,Reduced moisture in the soil leads to wilting of crops,None,Decrease,Decrease in farming interest ,No,No,No,No,Increases productivity,,2 years,Continue,No,Radio,Yes,,Yes,Practice the aquired information ,"10,000",None,None,None,None,None,None,Aware (No),Aware (Yes),Aware (Yes),Aware (No),Aware (No)
6/22/2022 11:25,Zaria,Male,20 – 40,Arabic Education,No,Rented,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"40,000",Yes,5 years,No,Learn new methods of farming,Strongly agree,"Decrease in rainfall, Increase in temperature",Yes,Crops have been destroyed and livestock died,Strongly agree,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,The emergence of new strains of pests and diseases,Decrease,,Yes,No,No,Yes,"Enhances resilience to climate change, Enhances food security",,2 years,Continue,No,"Radio, Television",No,,No,,"40,000",Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No),Aware (No)
6/25/2022 14:24,Zaria,Male,20 – 40,Tertiary Education,Yes,Bought,Above 200ha,"Non-farm income (employment, business, etc)",Above 10000,"30,000",Yes,Above 5 years,Yes,Learn new methods of farming,Strongly agree,"Decrease in rainfall, Decrease in temperature, Increased frequency and intensity in droughts",Yes,Crop yields have declined,Strongly agree,The decline in crop yield diseases,The decline in crop yield diseases,Reduced moisture in the soil leads to wilting of crops,The decline in crop yield,Decrease,,No,Yes,No,Yes,"Enhances resilience to climate change, Increases productivity, Enhances food security, Are efficient in the use of natural resources, More profitable and less costly",,2 years,Continue,Yes,Internet,Yes,,Yes,,"50,000",None,Aware (No),None,Knowledge (Yes),Knowledge (Yes),None,Aware (No),Aware (Yes),Aware (Yes),None,None
6/26/2022 2:43,Sabon Gari,Male,20 – 40,Tertiary Education,No,Bought,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"10,000",Yes,5 years,Yes,"Learn new methods of farming, Any other benefit",Strongly agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts, Low yields of agricultural produce ",Yes,Crop yields have declined,Strongly agree,The decline in crop yield,Poor quality pasture as a result of nutrient leaching,Destruction of crops as a result of flooding,Crop failure,Decrease,Farmlands not nutrient pertent and resulting effects from climate change,No,No,No,No,Nill,,Nil,Nil,No,Nil,N,,Nil,Nil,"40,000",Aware (No),None,None,Aware (No),None,None,None,Aware (No),None,None,None
6/30/2022 0:08,Chikun,Female,above 40,Arabic Education,Yes,Inherited,50 – 200ha,Farm income,Above 10000,"20,000",No,Above 5 years,No,None,Strongly agree,"Decrease in rainfall, Increase in temperature",Yes,I am unable to plan my farming activities,Agree,Reduced moisture in the soil leads to wilting of crops,Exacerbated soil erosion,The decline in crop yield diseases,The decline in crop yield diseases,Decrease,Low rainfall ,Yes,Yes,No,Yes,"Increases productivity, Enhances food security",,Above 2 years,Continue,No,None,No,No information ,No,,,Knowledge (Yes),Aware (Yes),Aware (No),Aware (Yes),Knowledge (Yes),Aware (Yes),Aware (No),None,None,Aware (Yes),None
6/30/2022 0:58,Zaria,Male,above 40,Arabic Education,Yes,Inherited,50 – 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",No,Above 5 years,No,None,Agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crops have been destroyed and livestock died,Strongly agree,The decline in crop yield diseases,Destruction of crops as a result of flooding,None,Exacerbated soil erosion,Decrease,Climate Chage,No,No,No,No,None,,0,None,No,None,None,,None,,,Practice (Yes),None,None,None,None,None,None,Practice (Yes),None,Practice (Yes),None
6/30/2022 1:39,Zaria,Male,above 40,Tertiary Education,Yes,Bought,Above 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,5 years,Yes,"Learn new methods of farming, Access to extension services, Access to credit",Strongly agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crop yields have declined,Strongly agree,The decline in crop yield,Destruction of crops as a result of flooding,Reduced moisture in the soil leads to wilting of crops,Exacerbated soil erosion,Decrease,Climate Change,Yes,Yes,Yes,Yes,"Enhances resilience to climate change, Increases productivity",,2 years,Continue,Yes,"Radio, Television, Internet, None",Yes,,Yes,,,Practice (Yes),Aware (Yes),Aware (Yes),Aware (Yes),Practice (Yes),Practice (Yes),Aware (Yes),Practice (Yes),Knowledge (Yes),Practice (Yes),None
6/30/2022 2:04,Zaria,Male,above 40,Secondary School education,Yes,"Inherited, Bought",Above 200ha,"Non-farm income (employment, business, etc)",Above 10000,"Above 100,000",Yes,Above 5 years,No,None,Agree,"Decrease in rainfall, Increase in temperature, Increased frequency and intensity in droughts, Increased frequency and intensity in floods",Yes,Crops have been destroyed and livestock died,Agree,The decline in crop yield diseases,Destruction of crops as a result of flooding,Poor quality pasture as a result of nutrient leaching,Exacerbated soil erosion,Decrease,,No,No,No,No,None,,None,None,No,None,None,,None,,,Practice (Yes),Aware (Yes),None,None,Practice (Yes),None,Aware (Yes),Practice (Yes),Knowledge (Yes),Practice (Yes),None
